id,label,floor-w,floor-h,spawn-x,spawn-y,front,cab,gen-x,gen-y,gen-z,selfPowered,plumable,roomdef,fallback
Van,Van,2,3,1,1,south,FALSE,1,17,0,FALSE,TRUE,shed,
Van_Ambulance,Van - Ambulance,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,medical,
Ambulance_Bay,Ambulance Bay,3,3,1,1,south,TRUE,1,17,0,FALSE,TRUE,medical,Van_Ambulance
Truck_Armored,Truck - Armored,2,4,1,1,south,FALSE,1,17,0,FALSE,TRUE,jewelrystorage,Van
Van_Art_Supply,Van - Art Supply,2,3,1,1,south,FALSE,1,17,0,FALSE,TRUE,artstore,Van
Van_Alcohol,Van - Alcohol,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,bar,Van
Van_Blacksmith,Van - Blacksmith,2,3,1,0,south,FALSE,1,17,0,FALSE,TRUE,blacksmith,Van
Van_Butcher,Van - Butcher,2,3,1,1,south,FALSE,1,17,0,FALSE,TRUE,butcher,Van
Van_VW_Camper,Van - VW Camper,2,4,1,1,south,FALSE,1,17,0,FALSE,TRUE,campingstorage,Van
Van_Carpenter,Van - Carpenter,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,carpentryworkshop,Van
Van_Comms,Van - Comms,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,radiostorage,Van
Van_Construction,Van - Construction,2,3,1,1,south,FALSE,1,17,0,FALSE,TRUE,construction,Van
Van_Electrical,Van - Electrical,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,electronicsstorage,Van
Van_Farm,Van - Farm,2,3,1,1,south,FALSE,1,17,0,FALSE,TRUE,farmstorage,Van
Van_Fossil,Van - Fossil,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,fossoil,Van
Truck_Furniture,Truck - Furniture,3,6,1,1,south,FALSE,1,17,0,FALSE,TRUE,furniturestore,Van
Van_Gardening,Van - Gardening,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,gardenstore,Van
Van_Gas_and_Electric,Van - Gas and Electric,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,gasstore,Van
Van_Glass,Van - Glass,2,3,1,1,south,FALSE,1,17,0,FALSE,TRUE,glassesstore,Van
Van_Greens,Van - Greens,2,3,1,0,south,FALSE,1,17,0,FALSE,TRUE,grocers,Van
Van_Leather,Van - Leather,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,leatherworkshop,Van
Van_Love,Van - Love,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,stripclubvip,Van
Van_Mail,Van - Mail,2,3,1,1,south,FALSE,1,17,0,FALSE,TRUE,post,Van
Van_Masonry,Van - Masonry,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,masonrystore,Van
Van_Mechanic,Van - Mechanic,2,3,1,1,south,FALSE,1,17,0,FALSE,TRUE,mechanic,Van
Van_Plumbing,Van - Plumbing,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,toolstore,Van
Van_Police,Van - Police,2,3,1,1,south,FALSE,1,17,0,FALSE,TRUE,policestorage,Van
Van_Prison,Van - Prison,2,3,1,2,south,FALSE,1,17,0,FALSE,TRUE,prisoncells,Van
Van_Seats,Van - Seats,2,3,1,2,south,FALSE,1,17,0,FALSE,TRUE,empty,Van
Van_Spiffo,Van - Spiffo,2,3,0,0,south,FALSE,1,17,0,FALSE,TRUE,spiffoskitchen,Van
Van_Tailor,Van - Tailor,2,3,0,1,south,FALSE,1,17,0,FALSE,TRUE,tailoringworkshop,Van
Van_Welding,Van - Welding,2,3,1,0,south,FALSE,1,17,0,FALSE,TRUE,weldingstorage,Van
Step_Van,Step Van,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,storage,Van
Step_Van_Beer,Step Van - Beer,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,beergarden,Step_Van
Step_Van_Blacksmith,Step Van - Blacksmith,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,blacksmith,Step_Van
Step_Van_Book,Step Van - Book,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,bookstore,Step_Van
Step_Van_Butcher,Step Van - Butcher,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,butcher,Step_Van
Step_Van_Carpentry,Step Van - Carpentry,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,carpentryworkshop,Step_Van
Step_Van_Catering,Step Van - Catering,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,cafeteriakitchen,Step_Van
Step_Van_Citr8,Step Van - Citr8,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,conveniencestore,Step_Van
Step_Van_Fish,Step Van - Fish,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,catfish_dining,Step_Van
Step_Van_Florist,Step Van - Florist,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,florist,Step_Van
Step_Van_Glass,Step Van - Glass,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,glassmakingworkshop,Step_Van
Step_Van_Groceries,Step Van - Groceries,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,grocerystorage,Step_Van
Step_Van_Laundry,Step Van - Laundry,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,laundry,Step_Van
Step_Van_Logistics,Step Van - Logistics,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,poststorage,Step_Van
Step_Van_Mail,Step Van - Mail,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,captainoffice,Step_Van
Step_Van_Masonry,Step Van - Masonry,3,4,1,3,south,TRUE,1,17,0,FALSE,TRUE,masonrystore,Step_Van
Step_Van_Mechanic,Step Van - Mechanic,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,mechanic,Step_Van
Step_Van_News,Step Van - News,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,newspaperprint_herald,Step_Van
Step_Van_Paint,Step Van - Paint,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,paintershop,Step_Van
Step_Van_Plants,Step Van - Plants,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,greenhouse,Step_Van
Step_Van_Plonkies,Step Van - Plonkies,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,gas2go,Step_Van
Step_Van_Propane,Step Van - Propane,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,gasstorage,Step_Van
Step_Van_Repair,Step Van - Repair,3,4,1,1,south,TRUE,1,17,0,FALSE,TRUE,toolstore,Step_Van
