vehicle,room,boarding
Base.63Type2Van,Van_VW_Camper,SeatRearRight
Base.63Type2VanApocalypse,Van_VW_Camper,SeatRearRight
Base.63Type2VanHippie,Van_VW_Camper,SeatRearRight
Base.63Type2VanMilitary,Van_VW_Camper,SeatRearRight
Base.84gageV300apc,GAGE_K15,
Base.84gageV300fsv,GAGE_K15,
Base.86chevyM1010,Military_Box,
Base.86chevyM1031,Military_Box,
Base.87fordB700military,Bus_Military,
Base.87fordB700prison,Bus_Prison,
Base.87fordB700school,Bus_School,
Base.87fordF700bank,Truck_Armored,
Base.87fordF700box,Truck_Furniture,
Base.87fordF700swat,Step_Van_SWAT,
Base.90fordF350SWAT,Step_Van_SWAT,
Base.90fordF350ambulance,Ambulance_Bay,
Base.DashRoamer,Camper_Dasher,
Base.RollingRefuge,RV_Large,door
Base.SemiTrailerVan,Semi_Trailer_Warehouse,
Base.SemiTrailerVan_mil,Semi_Trailer_Water,
Base.SemiTruckBox,Trailer_Medium,
Base.SemiTruckBox_mil,Trailer_Medium,
Base.StepVan,Step_Van,
Base.StepVanAirportCatering,Step_Van_Catering,
Base.StepVanMail,Step_Van_Mail,
Base.StepVan_Blacksmith,Step_Van_Blacksmith,
Base.StepVan_Butchers,Step_Van_Butcher,
Base.StepVan_Cereal,Step_Van_Groceries,
Base.StepVan_Citr8,Step_Van_Citr8,
Base.StepVan_CompleteRepairShop,Step_Van_Repair,
Base.StepVan_Florist,Step_Van_Florist,
Base.StepVan_Genuine_Beer,Step_Van_Beer,
Base.StepVan_Glass,Step_Van_Glass,
Base.StepVan_Heralds,Step_Van_News,
Base.StepVan_HuangsLaundry,Step_Van_Laundry,
Base.StepVan_Jorgensen,Step_Van_Carpentry,
Base.StepVan_LouisvilleMotorShop,Step_Van_Mechanic,
Base.StepVan_LouisvilleSWAT,Step_Van_SWAT,
Base.StepVan_MarineBites,Step_Van_Fish,
Base.StepVan_Masonry,Step_Van_Masonry,
Base.StepVan_Mechanic,Step_Van_Mechanic,
Base.StepVan_MobileLibrary,Step_Van_Book,
Base.StepVan_Plonkies,Step_Van_Plonkies,
